Bay,1,465,480,0,0,255
Charlevoix,1,380,322,0,0,255
Clinton,1,436,559,64,240,64
Detroit,75,550,645,64,240,64
Eaton,2,413,601,64,240,64
Ingham,6,440,600,64,240,64
Jackson,1,442,633,0,0,255
Kent,7,360,559,64,240,64
Leelanau,1,320,355,0,0,255
Livingston,1,476,600,64,240,64
Macomb,55,550,600,64,240,64
Midland,1,445,490,64,240,64
Monroe,2,510,670,0,0,255
Montcalm,1,380,537,0,0,255
Oakland,105,500,600,64,240,64
Otsego,1,425,355,0,0,255
Ottawa,1,320,570,0,0,255
St. Clair,4,570,570,0,0,255
Washtenaw,14,470,635,0,0,255
Wayne,44,510,630,64,240,64
nonreported,10,25,85,64,240,64
Total,334,,,,,
