PATIENT_COUNTY,DATA_REFRESH_DT,DATA_AS_OF_DT,CASES,DEATHS,RECOVERIES,HOSPITALIZATIONS
Androscoggin,2020-08-12,2020-08-11,568,8,505,43
Aroostook,2020-08-12,2020-08-11,33,1,32,4
Cumberland,2020-08-12,2020-08-11,2097,69,1841,190
Franklin,2020-08-12,2020-08-11,45,1,42,3
Hancock,2020-08-12,2020-08-11,37,1,30,3
Kennebec,2020-08-12,2020-08-11,171,11,149,27
Knox,2020-08-12,2020-08-11,27,1,25,4
Lincoln,2020-08-12,2020-08-11,35,1,31,3
Oxford,2020-08-12,2020-08-11,55,0,50,1
Penobscot,2020-08-12,2020-08-11,153,5,132,22
Piscataquis,2020-08-12,2020-08-11,4,0,3,1
Sagadahoc,2020-08-12,2020-08-11,56,0,46,7
Somerset,2020-08-12,2020-08-11,33,1,31,2
Unknown,2020-08-12,2020-08-11,1,0,0,0
Waldo,2020-08-12,2020-08-11,62,14,48,5
Washington,2020-08-12,2020-08-11,13,0,8,0
York,2020-08-12,2020-08-11,680,13,606,79
