PATIENT_COUNTY,DATA_REFRESH_DT,DATA_AS_OF_DT,CASES,DEATHS,RECOVERIES,HOSPITALIZATIONS
Androscoggin,2020-07-23,2020-07-22,515,5,473,38
Aroostook,2020-07-23,2020-07-22,32,1,23,4
Cumberland,2020-07-23,2020-07-22,1986,68,1702,184
Franklin,2020-07-23,2020-07-22,45,1,39,3
Hancock,2020-07-23,2020-07-22,19,1,16,2
Kennebec,2020-07-23,2020-07-22,154,10,131,27
Knox,2020-07-23,2020-07-22,25,1,23,4
Lincoln,2020-07-23,2020-07-22,31,0,23,3
Oxford,2020-07-23,2020-07-22,48,0,43,1
Penobscot,2020-07-23,2020-07-22,136,5,111,22
Piscataquis,2020-07-23,2020-07-22,3,0,3,1
Sagadahoc,2020-07-23,2020-07-22,38,0,32,7
Somerset,2020-07-23,2020-07-22,32,0,30,1
Unknown,2020-07-23,2020-07-22,3,0,0,0
Waldo,2020-07-23,2020-07-22,60,14,46,5
Washington,2020-07-23,2020-07-22,6,0,4,0
York,2020-07-23,2020-07-22,604,12,540,76
