PATIENT_COUNTY,DATA_REFRESH_DT,DATA_AS_OF_DT,CASES,DEATHS,RECOVERIES,HOSPITALIZATIONS
Androscoggin,2020-07-20,2020-07-19,512,5,472,38
Aroostook,2020-07-20,2020-07-19,28,1,23,4
Cumberland,2020-07-20,2020-07-19,1959,67,1653,183
Franklin,2020-07-20,2020-07-19,44,1,37,3
Hancock,2020-07-20,2020-07-19,19,1,16,2
Kennebec,2020-07-20,2020-07-19,149,10,130,26
Knox,2020-07-20,2020-07-19,25,1,23,4
Lincoln,2020-07-20,2020-07-19,31,0,23,3
Oxford,2020-07-20,2020-07-19,49,0,41,1
Penobscot,2020-07-20,2020-07-19,134,5,110,22
Piscataquis,2020-07-20,2020-07-19,4,0,4,1
Sagadahoc,2020-07-20,2020-07-19,35,0,31,6
Somerset,2020-07-20,2020-07-19,33,0,28,1
Unknown,2020-07-20,2020-07-19,24,0,0,0
Waldo,2020-07-20,2020-07-19,60,14,46,5
Washington,2020-07-20,2020-07-19,6,0,3,0
York,2020-07-20,2020-07-19,599,12,519,76
