PATIENT_COUNTY,DATA_REFRESH_DT,DATA_AS_OF_DT,CASES,DEATHS,RECOVERIES,HOSPITALIZATIONS
Androscoggin,2020-07-25,2020-07-24,532,5,475,38
Aroostook,2020-07-25,2020-07-24,31,1,23,4
Cumberland,2020-07-25,2020-07-24,2004,68,1730,184
Franklin,2020-07-25,2020-07-24,45,1,39,3
Hancock,2020-07-25,2020-07-24,19,1,17,2
Kennebec,2020-07-25,2020-07-24,157,10,130,27
Knox,2020-07-25,2020-07-24,25,1,23,4
Lincoln,2020-07-25,2020-07-24,33,0,23,3
Oxford,2020-07-25,2020-07-24,48,0,44,1
Penobscot,2020-07-25,2020-07-24,139,5,113,22
Piscataquis,2020-07-25,2020-07-24,3,0,3,1
Sagadahoc,2020-07-25,2020-07-24,40,0,32,7
Somerset,2020-07-25,2020-07-24,34,1,31,2
Unknown,2020-07-25,2020-07-24,1,0,0,0
Waldo,2020-07-25,2020-07-24,60,14,46,5
Washington,2020-07-25,2020-07-24,5,0,4,0
York,2020-07-25,2020-07-24,614,12,548,76
