PATIENT_COUNTY,DATA_REFRESH_DT,DATA_AS_OF_DT,CASES,DEATHS,RECOVERIES,HOSPITALIZATIONS
Androscoggin,2020-07-11,2020-07-10,501,4,454,38
Aroostook,2020-07-11,2020-07-10,24,1,21,4
Cumberland,2020-07-11,2020-07-10,1861,66,1544,180
Franklin,2020-07-11,2020-07-10,42,1,37,3
Hancock,2020-07-11,2020-07-10,18,1,15,2
Kennebec,2020-07-11,2020-07-10,146,10,129,26
Knox,2020-07-11,2020-07-10,25,1,22,4
Lincoln,2020-07-11,2020-07-10,26,0,22,2
Oxford,2020-07-11,2020-07-10,44,0,34,1
Penobscot,2020-07-11,2020-07-10,122,3,103,21
Piscataquis,2020-07-11,2020-07-10,5,0,4,1
Sagadahoc,2020-07-11,2020-07-10,35,0,30,6
Somerset,2020-07-11,2020-07-10,31,0,27,1
Unknown,2020-07-11,2020-07-10,6,0,0,0
Waldo,2020-07-11,2020-07-10,59,14,42,5
Washington,2020-07-11,2020-07-10,5,0,3,0
York,2020-07-11,2020-07-10,570,11,485,74
