PATIENT_COUNTY,DATA_REFRESH_DT,DATA_AS_OF_DT,CASES,DEATHS,RECOVERIES,HOSPITALIZATIONS
Androscoggin,2020-07-14,2020-07-13,502,4,463,38
Aroostook,2020-07-14,2020-07-13,25,1,21,4
Cumberland,2020-07-14,2020-07-13,1897,67,1602,181
Franklin,2020-07-14,2020-07-13,41,1,37,3
Hancock,2020-07-14,2020-07-13,18,1,15,2
Kennebec,2020-07-14,2020-07-13,147,10,129,26
Knox,2020-07-14,2020-07-13,25,1,23,4
Lincoln,2020-07-14,2020-07-13,26,0,22,3
Oxford,2020-07-14,2020-07-13,46,0,37,1
Penobscot,2020-07-14,2020-07-13,124,4,105,22
Piscataquis,2020-07-14,2020-07-13,5,0,4,1
Sagadahoc,2020-07-14,2020-07-13,34,0,31,6
Somerset,2020-07-14,2020-07-13,31,0,27,1
Unknown,2020-07-14,2020-07-13,2,0,0,0
Waldo,2020-07-14,2020-07-13,59,14,43,5
Washington,2020-07-14,2020-07-13,4,0,3,0
York,2020-07-14,2020-07-13,580,11,500,76
