PATIENT_COUNTY,DATA_REFRESH_DT,DATA_AS_OF_DT,CASES,DEATHS,RECOVERIES,HOSPITALIZATIONS
Androscoggin,2020-07-18,2020-07-17,509,5,470,38
Aroostook,2020-07-18,2020-07-17,27,1,23,4
Cumberland,2020-07-18,2020-07-17,1938,67,1638,183
Franklin,2020-07-18,2020-07-17,42,1,37,3
Hancock,2020-07-18,2020-07-17,19,1,16,2
Kennebec,2020-07-18,2020-07-17,147,10,130,26
Knox,2020-07-18,2020-07-17,25,1,23,4
Lincoln,2020-07-18,2020-07-17,29,0,23,3
Miami-Dade,2020-07-18,2020-07-17,1,0,0,0
Oxford,2020-07-18,2020-07-17,49,0,40,1
Penobscot,2020-07-18,2020-07-17,131,5,110,22
Piscataquis,2020-07-18,2020-07-17,4,0,4,1
Sagadahoc,2020-07-18,2020-07-17,34,0,31,6
Somerset,2020-07-18,2020-07-17,32,0,28,1
Unknown,2020-07-18,2020-07-17,4,0,0,0
Waldo,2020-07-18,2020-07-17,60,14,46,5
Washington,2020-07-18,2020-07-17,5,0,3,0
York,2020-07-18,2020-07-17,590,12,514,76
