PATIENT_COUNTY,DATA_REFRESH_DT,DATA_AS_OF_DT,CASES,DEATHS,RECOVERIES,HOSPITALIZATIONS
Androscoggin,2020-08-13,2020-08-12,570,8,506,43
Aroostook,2020-08-13,2020-08-12,33,1,32,4
Cumberland,2020-08-13,2020-08-12,2103,69,1846,190
Franklin,2020-08-13,2020-08-12,45,1,42,3
Hancock,2020-08-13,2020-08-12,40,1,32,3
Kennebec,2020-08-13,2020-08-12,171,11,151,27
Knox,2020-08-13,2020-08-12,27,1,25,4
Lincoln,2020-08-13,2020-08-12,35,1,31,3
Oxford,2020-08-13,2020-08-12,55,0,50,1
Penobscot,2020-08-13,2020-08-12,156,5,132,23
Piscataquis,2020-08-13,2020-08-12,6,0,3,1
Sagadahoc,2020-08-13,2020-08-12,57,0,46,7
Somerset,2020-08-13,2020-08-12,35,1,31,2
Unknown,2020-08-13,2020-08-12,1,0,0,0
Waldo,2020-08-13,2020-08-12,62,14,48,5
Washington,2020-08-13,2020-08-12,13,0,9,0
York,2020-08-13,2020-08-12,680,13,608,79
