PATIENT_COUNTY,DATA_REFRESH_DT,DATA_AS_OF_DT,CASES,DEATHS,RECOVERIES,HOSPITALIZATIONS
Androscoggin,2020-07-30,2020-07-29,547,6,481,40
Aroostook,2020-07-30,2020-07-29,32,1,29,4
Cumberland,2020-07-30,2020-07-29,2032,68,1758,186
Franklin,2020-07-30,2020-07-29,45,1,39,3
Hancock,2020-07-30,2020-07-29,27,1,17,2
Kennebec,2020-07-30,2020-07-29,162,11,135,27
Knox,2020-07-30,2020-07-29,25,1,23,4
Lincoln,2020-07-30,2020-07-29,33,1,29,3
Oxford,2020-07-30,2020-07-29,51,0,42,1
Penobscot,2020-07-30,2020-07-29,141,5,117,22
Piscataquis,2020-07-30,2020-07-29,3,0,3,1
Sagadahoc,2020-07-30,2020-07-29,45,0,33,8
Somerset,2020-07-30,2020-07-29,34,1,31,2
Unknown,2020-07-30,2020-07-29,1,0,0,0
Waldo,2020-07-30,2020-07-29,62,14,47,5
Washington,2020-07-30,2020-07-29,7,0,4,0
York,2020-07-30,2020-07-29,641,12,557,78
