PATIENT_COUNTY,DATA_REFRESH_DT,DATA_AS_OF_DT,CASES,DEATHS,RECOVERIES,HOSPITALIZATIONS
Androscoggin,2020-07-09,2020-07-08,502,4,449,38
Aroostook,2020-07-09,2020-07-08,24,1,20,4
Cumberland,2020-07-09,2020-07-08,1844,65,1497,178
Franklin,2020-07-09,2020-07-08,41,1,37,3
Hancock,2020-07-09,2020-07-08,18,1,15,2
Kennebec,2020-07-09,2020-07-08,147,10,127,26
Knox,2020-07-09,2020-07-08,25,1,21,4
Lincoln,2020-07-09,2020-07-08,26,0,22,2
Oxford,2020-07-09,2020-07-08,44,0,34,1
Penobscot,2020-07-09,2020-07-08,122,3,102,20
Piscataquis,2020-07-09,2020-07-08,5,0,4,1
Sagadahoc,2020-07-09,2020-07-08,34,0,30,6
Somerset,2020-07-09,2020-07-08,31,0,27,1
Unknown,2020-07-09,2020-07-08,3,0,0,0
Waldo,2020-07-09,2020-07-08,58,14,41,5
Washington,2020-07-09,2020-07-08,5,0,3,0
York,2020-07-09,2020-07-08,557,11,472,74
