PATIENT_COUNTY,DATA_REFRESH_DT,DATA_AS_OF_DT,CASES,DEATHS,RECOVERIES,HOSPITALIZATIONS
Androscoggin,2020-07-10,2020-07-09,503,4,452,38
Aroostook,2020-07-10,2020-07-09,24,1,21,4
Cumberland,2020-07-10,2020-07-09,1851,65,1515,178
Franklin,2020-07-10,2020-07-09,41,1,37,3
Hancock,2020-07-10,2020-07-09,18,1,15,2
Kennebec,2020-07-10,2020-07-09,145,10,129,26
Knox,2020-07-10,2020-07-09,25,1,21,4
Lincoln,2020-07-10,2020-07-09,26,0,22,2
Oxford,2020-07-10,2020-07-09,44,0,34,1
Penobscot,2020-07-10,2020-07-09,122,3,103,21
Piscataquis,2020-07-10,2020-07-09,5,0,4,1
Sagadahoc,2020-07-10,2020-07-09,34,0,30,6
Somerset,2020-07-10,2020-07-09,31,0,27,1
Unknown,2020-07-10,2020-07-09,3,0,0,0
Waldo,2020-07-10,2020-07-09,59,14,41,5
Washington,2020-07-10,2020-07-09,5,0,3,0
York,2020-07-10,2020-07-09,563,11,477,74
