PATIENT_COUNTY,DATA_REFRESH_DT,DATA_AS_OF_DT,CASES,DEATHS,RECOVERIES,HOSPITALIZATIONS
Androscoggin,2020-07-17,2020-07-16,509,4,469,38
Aroostook,2020-07-17,2020-07-16,26,1,22,4
Cumberland,2020-07-17,2020-07-16,1934,67,1631,183
Franklin,2020-07-17,2020-07-16,42,1,37,3
Hancock,2020-07-17,2020-07-16,19,1,15,2
Kennebec,2020-07-17,2020-07-16,148,10,130,26
Knox,2020-07-17,2020-07-16,25,1,23,4
Lincoln,2020-07-17,2020-07-16,29,0,22,3
Oxford,2020-07-17,2020-07-16,49,0,39,1
Penobscot,2020-07-17,2020-07-16,129,5,107,22
Piscataquis,2020-07-17,2020-07-16,4,0,4,1
Sagadahoc,2020-07-17,2020-07-16,34,0,31,6
Somerset,2020-07-17,2020-07-16,32,0,28,1
Unknown,2020-07-17,2020-07-16,3,0,0,0
Waldo,2020-07-17,2020-07-16,60,14,43,5
Washington,2020-07-17,2020-07-16,5,0,3,0
York,2020-07-17,2020-07-16,588,11,510,76
