County,Cases,Deaths
Allegan,42,0
Alpena,15,1
Antrim,9,0
Arenac,12,1
Barry,26,1
Bay,85,2
Benzie,4,0
Berrien,164,8
Branch,40,2
Calhoun,148,5
Cass,22,1
Charlevoix,12,1
Cheboygan,14,1
Chippewa,2,0
Clare,9,1
Clinton,104,7
Crawford,29,2
Delta,13,1
Detroit City,7736,641
Dickinson,3,2
Eaton,90,5
Emmet,21,2
Genesee,1256,123
Gladwin,9,1
Gogebic,4,1
Grand Traverse,19,4
Gratiot,8,1
Hillsdale,90,11
Houghton,2,0
Huron,10,1
Ingham,314,6
Ionia,23,2
Iosco,13,2
Isabella,52,7
Jackson,260,10
Kalamazoo,185,9
Kalkaska,17,2
Kent,550,24
Lake,2,0
Lapeer,145,20
Leelanau,7,0
Lenawee,65,0
Livingston,288,11
Luce,1,0
Mackinac,4,0
Macomb,4425,403
Manistee,11,0
Marquette,32,6
Mason,4,0
Mecosta,13,1
Menominee,1,0
Midland,47,3
Missaukee,5,1
Monroe,236,10
Montcalm,26,1
Montmorency,4,0
Muskegon,149,7
Newaygo,7,0
Oakland,6178,479
Oceana,3,1
Ogemaw,6,0
Osceola,7,0
Oscoda,4,1
Otsego,72,5
Ottawa,119,7
Presque Isle,2,0
Roscommon,11,0
Saginaw,419,29
Sanilac,32,3
Schoolcraft,3,0
Shiawassee,109,2
St Clair,252,11
St Joseph,25,1
Tuscola,63,12
Van Buren,33,2
Washtenaw,878,31
Wayne,6176,507
Wexford,7,1
MDOC*,561,19
FCI**,55,0
Unknown,28,4
Out of State,69,2
Totals,31996,2468
