Bay,1.0,0
Berrien,1.0,0
Calhoun,1.0,0
Cass,1.0,0
Clinton,1.0,0
Detroit City,146.0,3.0
Eaton,1.0,0
Genesee,17.0,1.0
Hillsdale,3.0,0
Ingham,4.0,0
Ionia,2.0,0
Isabella,1.0,0
Jackson,5.0,0
Kalamazoo,5.0,0
Kent,5.0,0
Lapeer,2.0,0
Lenawee,2.0,0
Livingston,5.0,0
Macomb,66.0,4.0
Mecosta,1.0,1.0
Missaukee,1.0,0
Monroe,3.0,0
Montcalm,1.0,0
Oakland,125.0,5.0
Oceana,1.0,0
Ogema,1.0,0
Otsego,1.0,0
Ottawa,2.0,0
Saginaw,1.0,0
Shiawassee,1.0,0
St. Clair,3.0,0
Tuscola,0,1.0
Washtenaw,20.0,0
Wayne,121.0,2.0
Other*,13.0,0
Total,564.0,17.0
